Rank,Hebrew,English,Pronunciation
1,של,of / belongs to,shel
2,את,you (f.s.),at
2,את,the (direct object),et
3,על,on / about / top,al
4,לא,no,lo
5,הוא,he,hu
6,עם,with,im
6,עם,people / nation,am
7,כי,because,ki
8,היה,was (m.s.),haya
9,זה,this / that,ze
10,גם,also / too,gam
11,ב,in,be
12,כל,all,kol
13,ה,the,ha
14,בין,between / among,bein
14,בין,within,bin
15,או,or,o
16,אל,to / God,el
16,אל,don't,al
17,אך,but / hardly,akh
18,יותר,more,yoter
19,היא,she,hi
20,לאחר,after,le'akhar
20,לאחר,to be late,le'akher
20,לאחר,to/for the other,la'akher
21,אבל,but,aval
21,אבל,mourning,evel
21,אבל,mourner,avel
22,ל,to,le
22,ל,to the,la
23,היו,were (m.),hayu
24,עד,until / eternity,ad
24,עד,witness,ed
25,זו,this (f.),zo
26,הם,they (m.),hem
27,אשר,that / which,asher
28,הייתה,she was,haita
29,בשנת,in the year [X] / in the year of,bishnat
30,כך,so / like this / thus,kakh
31,רק,only,rak
32,אף,also / even / nose,af
33,ביותר,"most, very much",beyoter
34,אני,I / me,ani
35,עוד,more,od
35,עוד,musical instrument,ud
36,רבים,many,rabim
36,רבים,fighting (m.pl.),ravim
37,כמו,like / as,kmo
38,בית,home / house,bayit
39,אם,if,im
39,אם,mother,em
40,זאת,this (f.),zot
41,שם,there,sham
41,שם,name,shem
42,יש,there is / one must,yesh
43,מה,what,ma
44,לי,to me / for me,li
45,כן,yes / sincere,ken
45,כן,stand (n.),kan
46,כ,like / as / approximately,ke
47,לו,to him,lo
47,לו,if (wishing),lu
48,מספר,number,mispar
48,מספר,tell (m.s.) / narrator,mesaper
49,בו,in him / in it,bo
50,העיר,the city,ha'ir
50,העיר,made a comment / woke someone up (m.s.),he'ir
51,מ,from,me
52,כדי,in order to,kedei
53,אותו,him / it,oto
54,דבר,thing / matter / something / word / speech / saying / command / to speak / to say,davar
54,דבר,plague,dever
54,דבר,speak (m.s. imperative),daber
