jmdict_seq,kana,kanji,waller_definition,jlpt_level
1565440,ああ,嗚呼,"Ah!, Oh!, Alas!",N1
1400800,あい,相,"together, mutually, fellow",N1
1401310,あいかわらず,相変わらず,"as ever, as usual, the same",N1
1575660,あいそ,愛想,"civility, courtesy, compliments, sociability, graces",N1
1401100,あいたい,相対,"confrontation, facing, between ourselves, no third party, tete-a-tete",N1
1215660,あいだがら,間柄,relation(ship),N1
1575670,あいぞう,愛憎,likes and dislikes,N1
1284670,あいま,合間,interval,N1
1212850,あえて,敢えて,"dare (to do), challenge (to do)",N1
1238780,あおぐ,仰ぐ,"to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take",N1
1277420,あか,垢,"dirt, filth",N1
1149680,あか,亜科,"suborder, subfamily",N1
1582390,あかがね,銅,copper,N1
1351580,あかし,証,"proof, evidence",N1
1383440,あかじ,赤字,"deficit, go in the red",N1
1532220,あかす,明かす,"to pass, spend, to reveal, to divulge",N1
1383260,あかちゃん,赤ちゃん,"baby, infant",N1
1000225,あからさま,明白,"obvious, overt, plainly, frankly",N1
1383280,あからむ,赤らむ,"to become red, to redden, to blush",N1
1532350,あかるい,明るい,"bright, cheerful",N1
1352190,あがり,上がり,"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after",N1
1352290,あがる,上がる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,",N1
1580270,あきうど,商人,"trader, shopkeeper, merchant",N1
1676080,あきま,空間,"vacancy, room for rent or lease",N1
1436720,あきらめ,諦め,"resignation, acceptance, consolation",N1
1515580,あきれる,呆れる,"to be amazed, to be shocked",N1
1151230,あく,悪,"evil, wickedness",N1
1201960,あく,灰汁,puckery juice,N1
1000260,あくどい,悪どい,"1. gaudy, showy, excessive, 2. vicious",N1
1575770,あくび,悪日,unlucky day,N1
1532250,あくる,明くる,"next, following",N1
1453800,あこがれ,憧れ,"yearning, longing, aspiration",N1
1207560,あご,顎,chin,N1
1524290,あさ,麻,"flax, linen, hemp",N1
1584640,あさって,明後日,day after tomorrow,N1
1428410,あさねぼう,朝寝坊,"oversleeping, late riser",N1
1390810,あさましい,浅ましい,"wretched, miserable, shameful, mean, despicable, abject",N1
1315120,あざ,字,section of village,N1
1225420,あざむく,欺く,to deceive,N1
