english_word,part_of_speech,german,cefr_level,guideword,topic
"10/20, etc. years sb's junior",phrase,10/20 usw. Jahre jünger,C2,,
"2/3/4, etc. o'clock in the morning",phrase,2/3/4 usw. Uhr morgens,B1,,
"2/5/8, etc. all",phrase,2/5/8 usw. alle,B1,,shopping
"5 miles/10 metres, etc. wide",phrase,5 Meilen/10 Meter usw. breit,B1,,
a,determiner,A,A1,NOT PARTICULAR,
a,determiner,A,A1,ANY/EVERY,
a,determiner,A,A1,ONE,
a,determiner,A,A1,TYPE,
a,determiner,A,A2,AMOUNTS,
a,determiner,A,A2,AN ACTION,
a,determiner,A,A2,TWO NOUNS,
a,determiner,A,A2,UNIT,
a,determiner,A,A2,WITH FRACTION,
a,determiner,A,A2,PERIOD OF TIME,
"a bad/good, etc. judge of sth",phrase,ein schlechter/guter usw. Richter,C2,,people: personality
"a bad/rough, etc. patch",phrase,ein schlechter/rauer usw. Patch,C2,,
a balanced diet/meal,phrase,eine ausgewogene Ernährung/Mahlzeit,B2,,"describing things, food and drink"
abandon,verb,aufgeben,B2,LEAVE,
abandon,verb,aufgeben,C1,STOP DOING,
abandoned,adjective,verlassen,B2,LEFT SOMEWHERE,
abandoned,adjective,verlassen,B2,EMPTY,
ability,noun,Fähigkeit,B1,,
a bit,phrase,ein bisschen,A2,,describing things
a bit,phrase,ein bisschen,B2,,
a bite (to eat),phrase,ein Happen (zum Essen),C2,,food and drink
"a bit of a change/fool/problem, etc.",phrase,eine kleine Veränderung/ein Dummkopf/ein kleines Problem usw.,C1,,
able,adjective,fähig,C2,CLEVER,people: personality
abnormal,adjective,abnormal,C1,,describing things
aboard,adverb,an Bord,C1,,travel
abolish,verb,abschaffen,B2,,
a bone of contention,phrase,ein Zankapfel,C2,IDIOM,
"a book/cat/dog, etc. lover",phrase,ein Buch-/Katzen-/Hundeliebhaber usw,B1,,people: personality
"a book of stamps/tickets, etc.",phrase,ein Buch mit Stempeln/Tickets usw.,C2,,
abortion,noun,Abtreibung,C1,,body and health
about,preposition,um,A1,SUBJECT,communication
about,adverb,um,A1,,
about,adverb,um,B2,DIRECTION,
about/high time,phrase,Über/höchste Zeit,C1,,
above,adverb,über,A1,HIGHER POSITION,describing things
above,adverb,über,A2,MORE,describing things
above,adverb,über,C2,TOO IMPORTANT,
above,adverb,über,B1,,
above all,phrase,vor allem,B1,,
a breath of fresh air,phrase,ein Hauch frischer Luft,C2,IDIOM,describing things
abroad,adverb,im Ausland,B1,,travel
"a broad range/variety, etc.",phrase,ein breites Sortiment/Vielfalt usw.,B1,,
"a broken arm/leg, etc.",phrase,ein gebrochener Arm/ein gebrochenes Bein usw.,A2,,body and health
a broken heart,phrase,ein gebrochenes Herz,B2,,"people: personality, relationships"
a broken home,phrase,ein kaputtes Zuhause,C2,,relationships
abrupt,adjective,abrupt,C2,SUDDEN,
abrupt,adjective,abrupt,C2,RUDE,people: personality
abruptly,adverb,plötzlich,C2,,
absence,noun,Abwesenheit,B2,NOT PRESENT,
absence,noun,Abwesenheit,B2,NOT EXISTING,
absent,adjective,abwesend,B1,,
absolute,adjective,Absolute,B2,,communication
absolutely,adverb,absolut,B1,COMPLETELY,communication
Absolutely!,phrase,Absolut!,C1,,communication
Absolutely not.,phrase,Absolut nicht.,C2,,communication
absorb,verb,absorbieren,B2,TAKE IN,
absorb,verb,absorbieren,C1,REMEMBER,
abstract,adjective,Abstrakt,B2,IDEAS,
abstract,adjective,Abstrakt,B2,ART,arts and media
absurd,adjective,absurd,B2,,describing things
a bundle of energy/nerves,phrase,ein Bündel Energie/Nerven,C2,,people: personality
a burning issue/question,phrase,ein brennendes Thema/eine brennende Frage,C1,,
abuse,noun,Missbrauch,B2,BAD TREATMENT,
abuse,noun,Missbrauch,B2,WRONG USE,
abuse,noun,Missbrauch,C1,WRONG ACTION,
abuse,noun,Missbrauch,C2,LANGUAGE,communication
abusive,adjective,missbräuchlich,C2,,
academic,adjective,akademisch,B2,EDUCATION,education
academic,adjective,akademisch,C2,CLEVER,people: personality
a call for sth,phrase,ein Aufruf dazu,C1,,communication
accelerate,verb,beschleunigen,C1,HAPPEN,
accelerate,verb,beschleunigen,C2,VEHICLE,travel
accent,noun,Akzent,B2,MARK,communication
accent,noun,Akzent,B1,PRONUNCIATION,communication
accept,verb,akzeptieren,B1,AGREE TO TAKE,"communication, people: actions"
accept,verb,akzeptieren,B2,ADMIT,
accept,verb,akzeptieren,B2,ALLOW TO JOIN,
acceptable,adjective,akzeptabel,B1,GOOD ENOUGH,describing things
acceptable,adjective,akzeptabel,C1,ALLOWED,
acceptance,noun,Annahme,C1,,
accepted,adjective,akzeptiert,C1,,
accept responsibility/blame,phrase,Verantwortung/Schuld übernehmen,B2,,
access,noun,Zugang,B1,RIGHT/OPPORTUNITY,technology
access,noun,Zugang,B1,METHOD,
