rank,hebrew,english_gloss,matched_word,cefr_level
10,גם,also / too,also,A1
12,כל,all,all,A1
32,אף,also / even / nose,also,A1
41,שם,there / name,name,A1
56,בכל,in all / at all,all,A1
67,ידי,my hands / my hand / the hands of,hand,A1
94,כלל,rule / all / included (m.s.),all,A1
111,וכן,and also,also,A1
124,חיים,life / (could also be a name),name,A1
136,אדם,person / man / human being / Adam,person,A1
138,איש,person / man / husband,person,A1
147,ואף,and also / and even / and nose,also,A1
149,האדם,the man / the person,person,A1
151,בשם,in the name of / called,name,A1
154,לכל,to all / to everybody,all,A1
166,בידי,in the hands of / in my hand / in my hands,hand,A1
172,המשחק,the game / the one who plays,who,A1
173,מי,who,who,A1
221,המפלגה,the party (political),party,A1
225,וגם,and also,also,A1
293,לשם,[to] there / [to/for] the name / for the sake of / opal,name,A1
327,מכל,from all,all,A1
337,ברחבי,all over,all,A1
344,מינים,kinds / species / genders,kind,A1
367,העונה,the season / this season / that/who answers (f.s.),who,A1
382,יד,hand,hand,A1
403,שהייתה,that/who was / that she was,who,A1
447,השם,the name / God,name,A1
476,שמו,placed / put (pl.) / his name,name,A1
480,רוח,wind / spirit / ghost,wind,A1
516,הבנק,the bank,bank,A1
528,לידי,to / to the hands of / near me / next to me,hand,A1
572,מיני,kinds of / species of,kind,A1
587,בכלל,at all,all,A1
614,כולו,all of it (m.s.),all,A1
644,וכל,and all,all,A1
658,בספורט,in sport / in the sport,sport,A1
681,בנק,bank,bank,A1
689,דולר,dollar,dollar,A1
692,ספורט,sport,sport,A1
763,שמות,names / Book of Exodus (bible),name,A1
822,סוגי,kinds of / classes of / types of,kind,A1
838,שמה,placed / put (f.s.) / there / her name,name,A1
885,הבא,next / the person who is coming (m.s.),who,A1
887,מסוג,of a kind / of a class / of a type,kind,A1
889,כדור,ball / pill,ball,A1
899,ושם,and a name / and there,name,A1
902,בר,wild / son / -able / bar,bar,A1
924,הרוח,the wind / the spirit / the ghost,wind,A1
931,כולה,all of it (f.s.),all,A1
977,שמן,fat (adj.) (m.s.) / oil / their name (f),name,A1
1019,שכל,that all,all,A1
1058,סוג,kind / class / type,kind,A1
1075,שהגיעו,that/who arrived (pl.),who,A1
1161,החורף,the winter,winter,A1
1182,האיש,the person / the man / the husband,person,A1
1188,הבאים,next / the person who is coming (m.pl.),who,A1
1192,כלשהו,any / of any kind (m.s.),kind,A1
1206,המינים,the kinds / the species / the genders,kind,A1
1238,משפחת,the [name] family,name,A1
1266,מוזיאון,museum,museum,A1
1284,המתארת,that/who describes (f.s.),who,A1
1286,רע,bad,bad,A1
1297,המתארים,that/who describe (m.pl.),who,A1
1306,המתאר,that/who describes (m.s.),who,A1
1320,הפארק,the park,park,A1
1383,שב,returned (m.s.) / sit (m.s. imperative) / old person,person,A1
1410,שגם,that also,also,A1
1465,דקות,minutes / thin (f.pl.),minute,A1
1476,הבאות,the next / the person who is coming (f.pl.),who,A1
1519,בפארק,in a park / in the park,park,A1
1605,למות,to die,die,A1
1609,חיות,living / alive (f.pl.) / animals / vitality,animal,A1
1645,היד,the hand,hand,A1
1669,בעיות,problems,problem,A1
1671,סוגים,kinds / classes / types,kind,A1
1708,שנערך,who prepared / who made arrangements / that was held / that was edited (m.s.),who,A1
1754,מחנות,camps / groups / park (f.pl.),park,A1
1783,שיכול,who/that can,who,A1
1820,שנקרא,that/who is called (m.s.),who,A1
1839,שהביא,that/who brought (m.s.),who,A1
1850,הבולטים,the protruding / that/who stand out (m.pl.),who,A1
1912,שהגיע,that/who arrived (m.s.),who,A1
1969,אישית,personal (f.s.) / private (f.s.) / in person,person,A1
2010,ברוח,in the wind / with the spirit / in a wind / with a spirit,wind,A1
2073,לאדם,to/for the man / to/for the person / to/for mankind / to/for a man / to/for a person,person,A1
2085,שכלל,that included (m.s.) / that a rule / that [not X] at all,all,A1
2100,גבר,man / overcame / defeated (m.s.),man,A1
2104,הבאה,the next / the person who is coming (f.s.),who,A1
2181,מפלגת,party of (political),party,A1
2188,שיצר,that/who created / that/who made (m.s.),who,A1
2208,מלון,hotel / melon,hotel,A1
2219,שפעלו,that/who acted / that/who operated (pl.),who,A1
2220,שנותרו,that/who were left (pl.),who,A1
2225,הסופר,the author / who counts,who,A1
2263,מתחיל,start (m.s.),start,A1
2282,מפלגות,parties (political),party,A1
2286,הקרוי,that/who is called (m.s.),who,A1
2289,תחנות,stations,station,A1
2293,להצביע,to vote / to raised a hand / to point at / to indicate,hand,A1
2317,השומר,the guard / that/who guards / that/who protects (m.s.),who,A1
2319,שקיבל,that/who received / that/who accepted (m.s.),who,A1
2333,בעיה,problem,problem,A1
2366,מתחילה,start (f.s.),start,A1
2400,המפלגות,the parties (political),party,A1
2427,הבר,the wild / the son / the bar,bar,A1
2440,בחורף,in a winter / in the winter,winter,A1
2466,אישי,personal (m.) / private (m.) / my man / my husband,man,A1
2527,מסיבות,for reasons / parties,party,A1
2544,הקרבות,the battles / that/who are getting close / that/who approach (f.pl.),who,A1
2552,הטוענים,who claim / that/who charge / that/who load (m.),who,A1
2565,הכלל,the rule / all,all,A1
2582,ובכל,and in all,all,A1
2678,כלשהי,any / of any kind (f.s.),kind,A1
2729,רעה,bad (f.s.) / grazed (sheep) (m.s.),bad,A1
2795,שזכה,that/who won (m.s.),who,A1
2825,שבאו,that/who came (pl.),who,A1
2849,שהביאו,that/who brought (pl.),who,A1
2919,הבעיה,the problem,problem,A1
2942,הספורט,the sport,sport,A1
2960,שקיבלו,that/who received / that/who accepted (pl.),who,A1
2971,שכתב,who wrote (m.s.) / that was written by,who,A1
2987,בסוג,in a kind / in a class / in a type,kind,A1
3001,לאיש,to/for a man / to/for a person / to/for the man / to/for the person,person,A1
3011,ביד,in a hand / in the hand / by hand,hand,A1
3031,שנערכו,who prepared / who made arrangements / that were held / that were edited (pl.),who,A1
3052,מסיבה,for a reason [of] / party,party,A1
3068,הקשורים,that/who are tied / that/who are linked / that/who are connected (m.pl.),who,A1
3069,העוסקים,that/who deal / that/who engage / work (m.pl.),who,A1
3138,הכדור,the ball / the pill,ball,A1
3159,מכלל,from all of,all,A1
3165,שנקראה,that/who is called (f.s.),who,A1
3169,רדיו,radio,radio,A1
3192,המוזיאון,the museum,museum,A1
3248,המראה,the sight / the view / the appearance / the mirror / that/who shows (f.s.),who,A1
3269,בשמו,on his behalf / in his name,name,A1
3318,העוסק,that/who deals / that/who engages / works (m.s.),who,A1
3344,האוכל,the food / the one who eats,who,A1
3442,החיות,the animals / the vitality,animal,A1
3467,מתחילים,start (m.pl.),start,A1
3502,המגינים,the defenders / that/who defend (m.pl.),who,A1
3546,במוזיאון,in a museum / in the museum,museum,A1
3574,חיה,living / alive (f.s.) / animal,animal,A1
3581,שבא,that/who is coming / that/who came (m.s.),who,A1
3599,לנקוט,to take (measures / steps) / that/who stood / that/who was about to / that/who endured / that/who succeeded /,who,A1
3600,שעמד,she'amad / that/who insisted on (m.s.),who,A1
3613,לסוג,to/for a kind / to/for a class / to/for a type / to/for the kind / to/for the class / to/for the type,kind,A1
3614,שהצליח,that/who succeeded,who,A1
3643,סטודנטים,students,student,A1
3645,לז,one (person),person,A1
3661,ממשפחת,from the family of / from the [name] family,name,A1
3703,שאמר,who said (m.s.),who,A1
3721,מהסוג,of the kind / of the class / of the type,kind,A1
3731,להתחיל,to start,start,A1
3734,שיצא,that/who went out / that/who came out (m.s.),who,A1
3744,שאותה,that the same / that/who (f.s.),who,A1
3751,הקורא,the reader / who reads / that/who calls (m.s.),who,A1
3769,שקדמה,that/who preceded (f.s.),who,A1
3770,שאותו,that the same / that/who (m.s.),who,A1
3775,מפלגה,party (political),party,A1
3779,שיצאו,that/who went out / that/who came out (pl.),who,A1
3798,תחנת,station of,station,A1
3822,העוברים,that/who pass / the transients (m.pl.) / the embryos / the fetuses,who,A1
3826,שמי,my name,name,A1
3859,שהיוו,that/who were / that/who constituted,who,A1
3860,שהגיעה,that/who arrived (f.s.),who,A1
3888,המסדר,that/who arranges (m.s.) / the lineup / the parade,who,A1
3935,בשמות,[in] the names of / [in] names,name,A1
3951,פארק,park,park,A1
3961,והגזיר,and the chip,chip,A1
3996,בידו,in his hand / on his hand,hand,A1
4045,וכלל,and a rule / and [not] at all / and included (m.s.),all,A1
4055,שניסו,who tried (pl.),who,A1
4066,שהביאה,that/who brought (f.s.),who,A1
4067,שנודע,that/who was known / that/who became known (m.s.),who,A1
4156,רוחות,winds / ghosts,wind,A1
4159,ידיים,hands,hand,A1
4185,שליד,that/who is near / that/who is next to,who,A1
4188,שנעשו,that were done / that/who became,who,A1
4224,מבצעים,who perform (m.pl.),who,A1
4230,האחראי,the responsible / the person in charge (m.s.),person,A1
4236,שנחשב,that/who is considered (m.s.),who,A1
4248,שפרסם,that/who published / that/who advertised,who,A1
4268,מאידך,on the other hand,hand,A1
4274,הצבעה,vote / voting / raising a hand / pointing at / indicating,hand,A1
4279,מחשב,computer / calculates (m.s.),computer,A1
4313,שיכלו,that/who could,who,A1
4328,חמים,warm / hot,warm,A1
4333,שנראה,that/who seems (m.s.) / that/who seemed (m.s.),who,A1
4377,שנתן,that/who gave,who,A1
4385,המופיעים,who appear / who perform (m.s.),who,A1
4399,בידיהם,in their hands,hand,A1
4419,שיצרו,that/who created / that/who made (pl.),who,A1
4420,שראו,that/who saw (pl.),who,A1
4454,שנערכה,who prepared / who made arrangements / that was held / that was edited (f.s.),who,A1
4464,הנקרא,that/who is called / that/who is summoned (m.s.),who,A1
4567,ולשם,and for / and for the purpose of / and to/for the name / and [to] there,name,A1
4571,שעשה,that/who did (m.s.),who,A1
4601,במפלגה,in a party (political) / in the party (political),party,A1
4622,שערך,who edited / who arranged / who held (m.s.) / that a value / that the value of,who,A1
4623,שהחלו,that/who started (pl.),who,A1
4631,למפלגה,to/for parties / to/for the parties of (political) / to/for the parties (political),party,A1
4654,העוסקת,that/who deals / that/who engages / work (f.s.),who,A1
4698,הצדה,to the side / who hunts (f.s.),who,A1
4736,ולכל,and to all,all,A1
4745,גרוע,bad (m.s.),bad,A1
4750,ידם,their hand,hand,A1
4773,למשפחת,to/for the [name] family / to/for the family of,name,A1
4774,לידיו,to him / into his hands,hand,A1
4904,תלמידי,students of,student,A1
4919,אלוהי,the god of / my god / the scout / the ranger / the observer / the spectator / that/who observes / that/who,who,A1
4920,הצופה,hatsofe / watches (m.s.) / the scout / the ranger / the observer / the spectator / that/who observes / that/who / hatsofa / watches (f.s.),who,A1
4930,להקת,band of,band,A1
4997,בכדור,with a ball / in a pill / with the ball / in the pill,ball,A1
5017,שנשא,that/who carried / who married (m.s.),who,A1
5077,גדות,banks / shores,bank,A1
5128,בעיית,the problem of,problem,A1
5137,תלמידים,students,student,A1
5151,הושפע,was influenced / was affected / the scouts / the rangers / the observers / the spectators / that/who observe / that/who,who,A1
5159,השייכות,the relevance / the relation / the ownership / that/who belong (f.pl.),who,A1
5197,הכרטיסים,the tickets,ticket,A1
5227,שבכל,that in all,all,A1
5234,ידו,his hand,hand,A1
5236,לרוח,to the wind / to/for the spirit / to a wind / to/for a spirit,wind,A1
5246,הרוחות,the winds,wind,A1
5284,הבולט,the protruding / that/who stands out (m.s.),who,A1
5313,שקדמו,that/who preceded (pl.),who,A1
5314,שנמצאו,that/who were found / that/who were [at],who,A1
5331,הקרויים,that/who are called (m.pl.),who,A1
5333,הסטודנטים,the students,student,A1
5347,שעלתה,that/who went up / that/who climbed / that/who increased / that/who immigrated (f.s.),who,A1
5367,שזכו,who won / who attained (pl.),who,A1
5401,מבצעי,the people who perform [X],who,A1
5424,הקשור,that/who is tied / that/who is linked / that/who is connected (m.s.),who,A1
5443,סרטון,film strip,film,A1
5453,הכדורסל,the basketball,basketball,A1
5466,כולנו,all of us,all,A1
5502,שהעניק,that/who gave (m.s.),who,A1
5522,מטופל,patient / taken care of / person who is taken care of (m.s.),who,A1
5532,ששמו,that/who placed / that/who put (pl.),who,A1
5533,שעלו,that/who went up / that/who climbed / that/who increased / who immigrated (pl.),who,A1
5534,שכונתה,that/who was named (f.s.),who,A1
5553,הרדיו,the radio,radio,A1
5554,הנקראת,that/who is called / that/who is summoned (f.s.),who,A1
5592,ששהו,that/who stayed (pl.),who,A1
5596,הקתולית,the Catholic / that/who stands / that/who is about to / that/who endures / that/who succeeds /,who,A1
5597,העומד,ha'omed / that/who insists on (m.s.),who,A1
5598,בידם,in their hand / up to them,hand,A1
